Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
EUR/AUD,1.63687,0.00029,-0.586,-0.13,0.0001,0.072,0,50,1000,0,EUR/AUD
EUR/CHF,1.07371,0.0002,-0.27,-0.436,0.0001,0.107,0,25,1000,0,EUR/CHF
EUR/NZD,1.74566,0.00042,-0.625,-0.98,0.0001,0.066,0,50,1000,0,EUR/NZD
EUR/USD,1.14365,0.00015,-0.576,-1.04,0.0001,0.1,0,50,1000,0,EUR/USD
GBP/USD,1.25275,0.0002,-0.411,-0.331,0.0001,0.1,0,50,1000,0,GBP/USD
USD/CHF,0.93882,0.00018,-0.022,-0.548,0.0001,0.107,0,25,1000,0,USD/CHF
USD/JPY,107.27,0.014,-0.203,-0.373,0.01,0.093,0,50,1000,0,USD/JPY
AUD/USD,0.71765,0.00015,-0.218,-0.208,0.0001,0.1,0,50,1000,0,AUD/USD
NZD/USD,0.66415,0.00017,-0.183,-0.214,0.0001,0.1,0,50,1000,0,NZD/USD
